time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-17T13:38:40.810Z,33.1631667,-115.6445,2.89,3.08,ml,79,49,0.0281,0.25,ci,ci38195471,2019-01-18T01:47:31.166Z,"13km WNW of Calipatria, CA",earthquake,0.16,0.31,0.148,190,reviewed,ci,ci
2019-01-17T12:56:37.090Z,29.6405,-114.0388,10,5.3,mww,,123,1.559,1.25,us,us2000j517,2019-01-17T15:15:04.040Z,"133km WSW of La Libertad, Mexico",earthquake,3.1,1.9,0.048,42,reviewed,us,us
2019-01-17T08:35:50.280Z,34.0518333,-118.8566667,2.79,2.76,ml,106,79,0.1202,0.29,ci,ci38195303,2019-01-19T19:31:35.084Z,"7km NW of Malibu, CA",earthquake,0.22,0.45,0.132,26,reviewed,ci,ci
2019-01-17T03:55:06.470Z,37.0769,-97.9749,9.13,2.9,mb_lg,,81,0.087,0.21,us,us2000j4w7,2019-02-01T22:42:03.320Z,"9km SSE of Anthony, Kansas",earthquake,2.1,5.1,0.067,58,reviewed,us,us
2019-01-17T03:47:07.190Z,48.1256666666667,-123.264333333333,42.07,2.84,ml,35,47,,0.31,uw,uw61509396,2019-01-18T03:49:15.476Z,"8km ENE of Port Angeles East, Washington",earthquake,0.51,0.98,0.211469521535708,25,reviewed,uw,uw
2019-01-17T02:53:47.510Z,33.1803333,-115.6043333,2.9,3.12,ml,55,51,0.009903,0.23,ci,ci38194983,2019-01-17T17:33:01.154Z,"10km SW of Niland, CA",earthquake,0.17,0.22,0.166,186,reviewed,ci,ci
2019-01-17T02:41:34.880Z,33.1818333,-115.6076667,2.85,3.9,mw,87,50,0.007978,0.26,ci,ci38194967,2019-01-23T04:05:55.259Z,"10km SW of Niland, CA",earthquake,0.19,0.29,,4,reviewed,ci,ci
2019-01-16T22:00:01.040Z,37.4946667,-113.8491667,8.89,3.82,ml,21,75,0.03338,0.2,uu,uu60309847,2019-01-30T15:43:24.853Z,"14km SW of Enterprise, Utah",earthquake,0.39,0.57,0.155,20,reviewed,uu,uu
2019-01-16T21:58:18.510Z,37.4958333,-113.85,6.92,2.79,ml,21,76,0.03441,0.19,uu,uu60309842,2019-02-02T04:45:01.040Z,"14km SW of Enterprise, Utah",earthquake,0.39,0.61,0.283,5,reviewed,uu,uu
2019-01-16T19:08:28.610Z,29.8409,-114.096,10,4.2,mb,,171,1.359,0.82,us,us2000j4ls,2019-01-16T22:02:43.040Z,"135km W of La Libertad, Mexico",earthquake,5.7,2,0.216,6,reviewed,us,us
2019-01-16T17:54:00.240Z,38.8056679,-122.7464981,4.3,2.56,md,9,197,0.05065,0.24,nc,nc73133536,2019-01-17T04:38:04.461Z,"3km SW of Cobb, CA",earthquake,2.68,2.01,0.17,7,automatic,nc,nc
2019-01-16T14:11:35.700Z,38.8373337,-122.7968369,0.69,2.69,md,24,93,0.005183,0.1,nc,nc73133491,2019-01-17T14:31:55.388Z,"7km WNW of Cobb, CA",earthquake,0.27,0.37,0.17,8,automatic,nc,nc
2019-01-16T12:42:08.960Z,37.8525009,-122.2336655,11.65,3.43,mw,66,32,0.02361,0.09,nc,nc73133456,2019-02-02T10:01:37.481Z,"3km N of Piedmont, CA",earthquake,0.16,0.3,,5,reviewed,nc,nc
2019-01-16T11:19:37.700Z,32.2131667,-115.2333333,20.29,2.9,ml,24,154,0.1605,0.33,ci,ci38426008,2019-01-16T20:47:40.105Z,"6km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.81,1.79,0.189,73,reviewed,ci,ci
2019-01-16T03:34:30.510Z,37.0531,-97.3658,2.51,4,mwr,,85,0.098,0.35,us,us2000j4df,2019-01-21T00:47:26.986Z,"21km E of Caldwell, Kansas",earthquake,1.4,3.3,0.049,40,reviewed,us,us
2019-01-16T02:37:55.750Z,35.4858333,-86.3088333,6.52,2.77,md,19,56,0.489,0.24,se,se60251476,2019-01-22T20:16:48.904Z,"14km E of Shelbyville, Tennessee",earthquake,0.48,2.41,0.067,17,reviewed,se,se
2019-01-15T23:30:48.230Z,37.2114,-73.0694,5.61,4.6,mww,,74,2.117,1.33,us,us2000j4bf,2019-01-24T20:35:30.254Z,"217km SE of Ocean City, Maryland",earthquake,6.8,4.2,0.089,12,reviewed,us,us
2019-01-15T20:21:37.320Z,40.3358345,-124.3966675,5.22,3.72,ml,9,246,0.1274,0.06,nc,nc73133251,2019-01-25T19:35:38.040Z,"10km W of Petrolia, CA",earthquake,2.16,0.83,0.183,6,reviewed,nc,nc
2019-01-15T20:20:20.490Z,40.3266678,-124.4410019,7.54,4.08,mw,19,247,0.151,0.13,nc,nc73133256,2019-01-31T20:02:05.040Z,"13km W of Petrolia, CA",earthquake,1.28,0.49,,3,reviewed,nc,nc
2019-01-15T16:57:32.790Z,40.3178329,-124.3773346,15.18,2.87,md,7,245,0.1048,0.15,nc,nc73133211,2019-01-15T20:56:51.352Z,"8km W of Petrolia, CA",earthquake,3.07,1.34,0.2,3,automatic,nc,nc
2019-01-15T13:32:02.570Z,36.2162,-97.5854,2.27,3.2,ml,,60,0.431,0.15,us,us2000j43a,2019-01-16T04:28:04.624Z,"27km WSW of Perry, Oklahoma",earthquake,0.7,5.7,0.059,38,reviewed,us,us
